																						
	Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	A56AF	BASUSDA_45	CV1	CV8	Cv1	DSM26508	SAM215	UFO-VIO
	Phosphonate ABC transporter ATP-binding protein		Phosphonate ABC transporter ATP-binding protein	7	7	1	301	2181	26	8		677	677	677	PAGBNG_00966	EADAOE_00170		PIBFPJ_02016	MDFDNN_05221	BLLDNB_02132	KCCMJC_03819	HCOCDN_03366
	Pullulanase		Pullulanase	7	7	1	301	2299	63	1		236	236	236	PAGBNG_00989	EADAOE_00193	MJAKFC_00806	PIBFPJ_02039	MDFDNN_04624	BLLDNB_02155	KCCMJC_03496	
	blaCRP		CRP family carbapenem-hydrolyzing class A beta-lactamase	7	7	1	301	2306	258	1		881	881	881	PAGBNG_00996	EADAOE_04022	MJAKFC_00799	PIBFPJ_02046		BLLDNB_02161	KCCMJC_02245	HCOCDN_03397
	ecpD		Molecular chaperone EcpD	7	7	1	301	3352	110	1		752	752	752	PAGBNG_01022	EADAOE_00362	MJAKFC_02680	PIBFPJ_02145	MDFDNN_01719		KCCMJC_02894	HCOCDN_01604
	group_2805	Fimbrial protein	Fimbrial protein	7	7	1	301	3351	110	2		521	521	521	PAGBNG_01023	EADAOE_00361	MJAKFC_02681	PIBFPJ_02144	MDFDNN_01720		KCCMJC_02893	HCOCDN_01605
	SAG1386/EF1546 family surface-associated protein		SAG1386/EF1546 family surface-associated protein	7	7	1	301	3306	52	5		1856	1856	1856	PAGBNG_01061	EADAOE_00324	MJAKFC_02718	PIBFPJ_02105		BLLDNB_02000	KCCMJC_02856	HCOCDN_01642
	dtd		D-aminoacyl-tRNA deacylase	7	7	1	301	3304	52	3		452	452	452	PAGBNG_01063	EADAOE_00322	MJAKFC_02720	PIBFPJ_02103	MDFDNN_01762	BLLDNB_01998	KCCMJC_02854	
	group_2808	Transmembrane protein	Transmembrane protein	7	7	1	301	3298	46	3		620	620	620	PAGBNG_01067	EADAOE_00318	MJAKFC_01566		MDFDNN_01766	BLLDNB_01994	KCCMJC_01711	HCOCDN_01648
	group_2809	araJ	Chloramphenicol resistance pump Cmr	7	7	1	301	3293	70	1		1259	1259	1259	PAGBNG_01070	EADAOE_00315	MJAKFC_01563	PIBFPJ_00317	MDFDNN_01773		KCCMJC_01708	HCOCDN_01651
	group_2814	HTH lysR-type domain-containing protein	HTH lysR-type domain-containing protein	7	7	1	301	3267	40	2		899	899	899	PAGBNG_01093	EADAOE_02102	MJAKFC_01541	PIBFPJ_00338		BLLDNB_01686	KCCMJC_01687	HCOCDN_01672
	Transglutaminase-like domain-containing protein		Transglutaminase-like domain-containing protein	7	7	1	301	3231	93	2		596	596	596	PAGBNG_01124	EADAOE_02132		PIBFPJ_00368	MDFDNN_03795	BLLDNB_01655	KCCMJC_01656	HCOCDN_01702
	group_2817	hypothetical protein	hypothetical protein	7	7	1	301	3212	291	1		425	425	425	PAGBNG_01141	EADAOE_02213	MJAKFC_01494	PIBFPJ_00384	MDFDNN_03710		KCCMJC_01639	HCOCDN_01718
	trmD		tRNA (guanosine(37)-N1)-methyltransferase TrmD	7	7	1	301	3195	344	1		767	767	767	PAGBNG_01153	EADAOE_02223	MJAKFC_01482	PIBFPJ_00396	MDFDNN_03698		KCCMJC_01627	HCOCDN_01730
	modA		molybdate ABC transporter substrate-binding protein	7	7	1	301	3141	35	3		728	728	728	PAGBNG_01202	EADAOE_02272	MJAKFC_01044	PIBFPJ_00446	MDFDNN_03641		KCCMJC_02029	HCOCDN_01779
	modB		molybdate ABC transporter permease subunit	7	7	1	301	3140	35	4		677	677	677	PAGBNG_01203	EADAOE_02273	MJAKFC_01043	PIBFPJ_00447	MDFDNN_03640		KCCMJC_02028	HCOCDN_01780
	group_2822	psiF	Phosphate starvation-inducible protein PsiF	7	7	1	301	3139	35	5		254	254	254	PAGBNG_01204	EADAOE_02274	MJAKFC_01042	PIBFPJ_00448	MDFDNN_03639		KCCMJC_02027	HCOCDN_01781
	aspS		aspartate--tRNA ligase	7	7	1	301	3126	319	1		1793	1793	1793	PAGBNG_01214	EADAOE_02284	MJAKFC_01032	PIBFPJ_00458	MDFDNN_03628		KCCMJC_02017	HCOCDN_01791
	group_2824	hypothetical protein	hypothetical protein	7	7	1	301	3119	420	1		125	125	125	PAGBNG_01221	EADAOE_02291	MJAKFC_01025	PIBFPJ_00465		BLLDNB_01354	KCCMJC_02010	HCOCDN_01798
	Histone		Histone	7	7	1	301	1898	250	1		890	890	890	PAGBNG_01317	EADAOE_02435	MJAKFC_00929	PIBFPJ_00561	MDFDNN_03522	BLLDNB_02046		HCOCDN_01924
	Phytanoyl-CoA dioxygenase		Phytanoyl-CoA dioxygenase	7	7	1	301	1764	15	10		776	776	776	PAGBNG_01337	EADAOE_02455	MJAKFC_02085	PIBFPJ_00633	MDFDNN_03462		KCCMJC_02729	HCOCDN_01945
	Radical SAM core domain-containing protein		Radical SAM core domain-containing protein	7	7	1	301	1763	15	9		1280	1280	1280	PAGBNG_01338	EADAOE_02456	MJAKFC_02086	PIBFPJ_00634	MDFDNN_03461		KCCMJC_02728	HCOCDN_01946
	group_2830	marR	MarR family transcriptional regulator	7	7	1	301	1732	350	1		467	467	467	PAGBNG_01362	EADAOE_02480	MJAKFC_02114	PIBFPJ_00661		BLLDNB_03450	KCCMJC_02704	HCOCDN_01970
	gabT		4-aminobutyrate--2-oxoglutarate transaminase	7	7	1	301	2006	328	1		1265	1265	1265	PAGBNG_01390	EADAOE_02501	MJAKFC_02135	PIBFPJ_00682		BLLDNB_03474	KCCMJC_03603	HCOCDN_01991
	group_2880	Methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis protein	7	7	1	301	1095	44	1		1628	1628	1628	PAGBNG_01487	EADAOE_00453	MJAKFC_02657	PIBFPJ_02187		BLLDNB_03033	KCCMJC_03305	HCOCDN_03746
	group_2881	SAM-dependent methyltransferase	SAM-dependent methyltransferase	7	7	1	301	1070	296	1		605	605	605	PAGBNG_01511	EADAOE_00477		PIBFPJ_02211	MDFDNN_01638	BLLDNB_03007	KCCMJC_03281	HCOCDN_03770
	Aminoacyl-tRNA deacylase		Aminoacyl-tRNA deacylase	7	7	1	301	5393	297	1		494	494	494	PAGBNG_01642	EADAOE_04139	MJAKFC_03260	PIBFPJ_02900		BLLDNB_00576	KCCMJC_01051	HCOCDN_00631
	Peptidase C69		Peptidase C69	7	7	1	301	5390	359	1		1460	1460	1460	PAGBNG_01645	EADAOE_04136		PIBFPJ_02897	MDFDNN_00448	BLLDNB_00579	KCCMJC_01054	HCOCDN_00628
	Potassium channel domain-containing protein		Potassium channel domain-containing protein	7	7	1	301	5387	285	1		575	575	575	PAGBNG_01648	EADAOE_04133	MJAKFC_03254	PIBFPJ_02894	MDFDNN_00451	BLLDNB_00582	KCCMJC_01057	
	ansP		Proline-specific permease	7	7	1	301	1198	281	1		1391	1391	1391	PAGBNG_01739	EADAOE_00267	MJAKFC_02847	PIBFPJ_00281		BLLDNB_01468	KCCMJC_02826	HCOCDN_03528
	ccoP		cytochrome-c oxidase, cbb3-type subunit III	7	7	1	301	4542	38	1		929	929	929	PAGBNG_01766	EADAOE_00292	MJAKFC_02495	PIBFPJ_00255	MDFDNN_01788		KCCMJC_02102	HCOCDN_03553
	ccoQ		Cbb3-type cytochrome oxidase, subunit 3	7	7	1	301	4543	38	4		191	191	191	PAGBNG_01767	EADAOE_00293	MJAKFC_02496	PIBFPJ_00254	MDFDNN_01787		KCCMJC_02103	HCOCDN_03554
	ccoO		cytochrome-c oxidase, cbb3-type subunit II	7	7	1	301	4544	38	3		614	614	614	PAGBNG_01768	EADAOE_00294	MJAKFC_02497	PIBFPJ_00253	MDFDNN_01786		KCCMJC_02104	HCOCDN_03555
	ccoN		cytochrome-c oxidase, cbb3-type subunit I	7	7	1	301	4545	38	2		1424	1424	1424	PAGBNG_01769	EADAOE_00295	MJAKFC_02498	PIBFPJ_00252	MDFDNN_01785		KCCMJC_02105	HCOCDN_03556
	Cytochrome c1		Cytochrome c1	7	7	1	301	1610	288	1		764	764	764	PAGBNG_01822	EADAOE_00027	MJAKFC_03604	PIBFPJ_01845		BLLDNB_01110	KCCMJC_02758	HCOCDN_03235
	group_2977	NUDIX hydrolase	NUDIX hydrolase	7	7	1	301	5661	148	3		881	881	881	PAGBNG_01878	EADAOE_03623	MJAKFC_02257	PIBFPJ_01782		BLLDNB_02721	KCCMJC_01869	HCOCDN_03177
	HD domain-containing protein		HD domain-containing protein	7	7	1	301	7196	1078	1		359	557	517		EADAOE_00790	MJAKFC_02043	PIBFPJ_02746	MDFDNN_01187	BLLDNB_03845	KCCMJC_00834	HCOCDN_01194
	group_3057	Transporter	Transporter	7	7	1	301	1342	45	7		1319	1319	1319	PAGBNG_02089	EADAOE_00656	MJAKFC_00295	PIBFPJ_02446		BLLDNB_01749	KCCMJC_02631	HCOCDN_04025
	group_309	caiD	1,4-Dihydroxy-2-naphthoyl-CoA synthase	7	7	1	301	7262	136	3		332	788	720	PAGBNG_02447	EADAOE_00733	MJAKFC_01330	PIBFPJ_02689	MDFDNN_01259	BLLDNB_03787	KCCMJC_00891	
	group_3090	Efflux transporter periplasmic adaptor subunit	Efflux transporter periplasmic adaptor subunit	7	7	1	301	7043	9	28		1100	1100	1100	PAGBNG_02151	EADAOE_00869	MJAKFC_03769	PIBFPJ_02825	MDFDNN_01065		KCCMJC_03764	HCOCDN_01062
	group_3091	dppB	ABC transporter permease	7	7	1	301	7047	9	22		938	938	938	PAGBNG_02155	EADAOE_00873	MJAKFC_03773	PIBFPJ_02829	MDFDNN_01059		KCCMJC_03760	HCOCDN_01058
	S-layer family protein		S-layer family protein	7	7	1	301	4862	8	15		1010	13259	5129	PAGBNG_02751	EADAOE_04048	MJAKFC_03920		MDFDNN_00474	BLLDNB_00997	KCCMJC_00626	HCOCDN_00686
	sctD		type III secretion system inner membrane ring subunit SctD	7	7	1	301	7107	4	3		1178	1178	1178	PAGBNG_02343	EADAOE_00837		PIBFPJ_02793	MDFDNN_04546	BLLDNB_03156	KCCMJC_00787	HCOCDN_01099
	EscC/YscC/HrcC family type III secretion system outer membrane ring protein		EscC/YscC/HrcC family type III secretion system outer membrane ring protein	7	7	1	301	7108	4	4		1475	1475	1475	PAGBNG_02344	EADAOE_00836		PIBFPJ_02792	MDFDNN_04547	BLLDNB_03155	KCCMJC_00788	HCOCDN_01100
	esaB		Protein EsaB	7	7	1	301	7109	4	5		401	401	401	PAGBNG_02345	EADAOE_00835		PIBFPJ_02791	MDFDNN_04548	BLLDNB_03154	KCCMJC_00789	HCOCDN_01101
	two component system response regulator		two component system response regulator	7	7	1	301	7110	4	6		653	653	653	PAGBNG_02346	EADAOE_00834		PIBFPJ_02790	MDFDNN_04549	BLLDNB_03153	KCCMJC_00790	HCOCDN_01102
	EscU/YscU/HrcU family type III secretion system export apparatus switch protein		EscU/YscU/HrcU family type III secretion system export apparatus switch protein	7	7	1	301	7113	4	42		1052	1052	1052	PAGBNG_02349	EADAOE_00831		PIBFPJ_02787	MDFDNN_04552	BLLDNB_03150	KCCMJC_00793	HCOCDN_01105
	sctT		type III secretion system export apparatus subunit SctT	7	7	1	301	7114	4	41		779	779	779	PAGBNG_02350	EADAOE_00830		PIBFPJ_02786	MDFDNN_04553	BLLDNB_03149	KCCMJC_00794	HCOCDN_01106
	sctS		type III secretion system export apparatus subunit SctS	7	7	1	301	7115	4	40		269	269	269	PAGBNG_02351	EADAOE_00829		PIBFPJ_02785	MDFDNN_04554	BLLDNB_03148	KCCMJC_00795	HCOCDN_01107
	sctR		type III secretion system export apparatus subunit SctR	7	7	1	301	7119	4	39		647	647	647	PAGBNG_02352	EADAOE_00828		PIBFPJ_02784	MDFDNN_04555	BLLDNB_03147	KCCMJC_00796	HCOCDN_01108
	EscV/YscV/HrcV family type III secretion system export apparatus protein		EscV/YscV/HrcV family type III secretion system export apparatus protein	7	7	1	301	7124	4	33		2051	2051	2051	PAGBNG_02356	EADAOE_00823		PIBFPJ_02779	MDFDNN_04591	BLLDNB_03141	KCCMJC_00801	HCOCDN_01113
	EscN/YscN/HrcN family type III secretion system ATPase		EscN/YscN/HrcN family type III secretion system ATPase	7	7	1	301	7125	4	29		1316	1316	1316	PAGBNG_02357	EADAOE_00822		PIBFPJ_02778	MDFDNN_04592	BLLDNB_03140	KCCMJC_00802	HCOCDN_01114
	cysT		sulfate ABC transporter permease subunit CysT	7	7	1	301	7201	301	1		857	857	857	PAGBNG_02395	EADAOE_00785	MJAKFC_02038	PIBFPJ_02741		BLLDNB_03840	KCCMJC_00839	HCOCDN_01199
	ABC transporter domain-containing protein		ABC transporter domain-containing protein	7	7	1	301	7223	338	1		797	797	797	PAGBNG_02417	EADAOE_00763	MJAKFC_02016	PIBFPJ_02719		BLLDNB_03818	KCCMJC_00861	HCOCDN_01221
	group_3198	N-acetyltransferase domain-containing protein	N-acetyltransferase domain-containing protein	7	7	1	301	7239	105	2		506	506	506	PAGBNG_02432	EADAOE_00748	MJAKFC_02001	PIBFPJ_02704		BLLDNB_03803	KCCMJC_00876	HCOCDN_01236
	Glyoxylate/hydroxypyruvate reductase A		Glyoxylate/hydroxypyruvate reductase A	7	7	1	301	7289	274	1		926	926	926	PAGBNG_02468	EADAOE_00712	MJAKFC_01308	PIBFPJ_02668		BLLDNB_03766	KCCMJC_00236	HCOCDN_01272
	group_3202	Transcriptional regulator	Transcriptional regulator	7	7	1	301	6923	261	1		647	647	647	PAGBNG_02523	EADAOE_01784	MJAKFC_01254	PIBFPJ_02614		BLLDNB_01253	KCCMJC_00182	HCOCDN_01327
	group_3203	Transmembrane protein	Transmembrane protein	7	7	1	301	6919	425	1		1313	1313	1313	PAGBNG_02527	EADAOE_01788	MJAKFC_01250	PIBFPJ_02610		BLLDNB_01249	KCCMJC_00178	HCOCDN_01331
	Carboxymuconolactone decarboxylase		Carboxymuconolactone decarboxylase	7	7	1	301	6892	88	2		314	314	314	PAGBNG_02548		MJAKFC_01230	PIBFPJ_02589	MDFDNN_04219	BLLDNB_01229	KCCMJC_00158	HCOCDN_01354
	group_3206	lysR	LysR family transcriptional regulator	7	7	1	301	6891	88	3		893	893	893	PAGBNG_02549		MJAKFC_01229	PIBFPJ_02588	MDFDNN_04218	BLLDNB_01228	KCCMJC_00157	HCOCDN_01355
	aceB		malate synthase A	7	7	1	301	6871	416	1		1595	1595	1595	PAGBNG_02561	EADAOE_01822	MJAKFC_02724	PIBFPJ_02575		BLLDNB_01215	KCCMJC_00144	HCOCDN_01368
	Tetrameric acyl-CoA thioesterase		Tetrameric acyl-CoA thioesterase	7	7	1	301	6827	100	2		458	458	458	PAGBNG_02603	EADAOE_01864	MJAKFC_02766	PIBFPJ_02533		BLLDNB_01173	KCCMJC_00102	HCOCDN_01410
	arsR		Biofilm growth-associated repressor	7	7	1	301	6826	100	1		296	296	296	PAGBNG_02604	EADAOE_01865	MJAKFC_02767	PIBFPJ_02532		BLLDNB_01172	KCCMJC_00101	HCOCDN_01411
	hrpZ		Harpin HrpZ	7	7	1	301	6813	347	1		701	701	701	PAGBNG_02617	EADAOE_01878	MJAKFC_01993	PIBFPJ_02519	MDFDNN_04133		KCCMJC_00088	HCOCDN_01424
	coq7		2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase	7	7	1	301	6804	249	1		620	620	620	PAGBNG_02625	EADAOE_01886	MJAKFC_01985	PIBFPJ_02511		BLLDNB_01151	KCCMJC_00080	HCOCDN_01432
	rnfH		RnfH family protein	7	7	1	301	6735	275	1		302	302	302	PAGBNG_02695	EADAOE_01954	MJAKFC_01917	PIBFPJ_00066		BLLDNB_01314	KCCMJC_00013	HCOCDN_01500
	group_3223	histidine kinase	histidine kinase	7	7	1	301	6696	294	1		4571	4571	4571	PAGBNG_02731	EADAOE_01987	MJAKFC_02951	PIBFPJ_00116		BLLDNB_01279	KCCMJC_03047	HCOCDN_01561
	group_3224	Peptide ABC transporter permease	Peptide ABC transporter permease	7	7	1	301	4874	25	11		1067	1067	1067	PAGBNG_02760	EADAOE_04029	MJAKFC_03743	PIBFPJ_03061	MDFDNN_00465		KCCMJC_00617	HCOCDN_00695
	group_3225	dppB	Glutathione transport system permease protein gsiC	7	7	1	301	4875	25	5		941	941	941	PAGBNG_02761	EADAOE_04030	MJAKFC_03742	PIBFPJ_03060	MDFDNN_00464		KCCMJC_00616	HCOCDN_00696
	group_3226	ABC transporter substrate-binding protein	ABC transporter substrate-binding protein	7	7	1	301	4876	25	4		1796	1796	1796	PAGBNG_02762	EADAOE_04031	MJAKFC_03741	PIBFPJ_03059	MDFDNN_00463		KCCMJC_00615	HCOCDN_00697
	group_3227	Solute-binding protein family 3/N-terminal domain-containing protein	Solute-binding protein family 3/N-terminal domain-containing protein	7	7	1	301	4898	406	1		908	908	908	PAGBNG_02795	EADAOE_00997	MJAKFC_01194	PIBFPJ_03024		BLLDNB_01043	KCCMJC_00582	HCOCDN_00730
	group_3228	histidine kinase	histidine kinase	7	7	1	301	4896	388	1		3089	3089	3089	PAGBNG_02797	EADAOE_00995	MJAKFC_01192	PIBFPJ_03022		BLLDNB_01045	KCCMJC_00580	HCOCDN_00732
	crotonase/enoyl-CoA hydratase family protein		crotonase/enoyl-CoA hydratase family protein	7	7	1	301	5034	410	1		815	815	815	PAGBNG_02811	EADAOE_03884	MJAKFC_01179	PIBFPJ_03010		BLLDNB_01058	KCCMJC_00568	HCOCDN_00745
	ribBA		bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	7	7	1	301	5241	292	1		1124	1124	1124	PAGBNG_02827	EADAOE_03900	MJAKFC_01163	PIBFPJ_02994		BLLDNB_01074	KCCMJC_00552	HCOCDN_00761
	argE		acetylornithine deacetylase	7	7	1	301	5229	264	1		1166	1166	1166	PAGBNG_02837	EADAOE_03910	MJAKFC_01153	PIBFPJ_02984	MDFDNN_00741		KCCMJC_00542	HCOCDN_00771
	pgi		glucose-6-phosphate isomerase	7	7	1	301	5220	369	1		1652	1652	1652	PAGBNG_02846	EADAOE_03919	MJAKFC_01144	PIBFPJ_02975		BLLDNB_03413	KCCMJC_00533	HCOCDN_00780
	group_3235	Secreted protein	Secreted protein	7	7	1	301	5178	337	1		296	296	296	PAGBNG_02884	EADAOE_03954	MJAKFC_01109	PIBFPJ_02937	MDFDNN_00782	BLLDNB_03375		HCOCDN_00819
	ribA		GTP cyclohydrolase-2	7	7	1	301	5162	3	106		617	617	617	PAGBNG_02902	EADAOE_00992	MJAKFC_01090	PIBFPJ_02867		BLLDNB_03349	KCCMJC_00480	HCOCDN_00896
	hycH		Formate hydrogenlyase maturation protein HycH	7	7	1	301	5883	106	1		410	410	410	PAGBNG_02940	EADAOE_00954	MJAKFC_01442	PIBFPJ_03372	MDFDNN_00441		KCCMJC_02541	HCOCDN_00934
	Zinc/iron-chelating domain-containing protein		Zinc/iron-chelating domain-containing protein	7	7	1	301	5897	80	3		362	362	362	PAGBNG_02953	EADAOE_03696	MJAKFC_01429	PIBFPJ_03385		BLLDNB_03297	KCCMJC_02528	HCOCDN_00947
	group_3244	hflX	GTPase HflX	7	7	1	301	6057	114	3		1388	1388	1388	PAGBNG_02984		MJAKFC_01398	PIBFPJ_03415	MDFDNN_00343	BLLDNB_03266	KCCMJC_02498	HCOCDN_00978
	era		GTPase Era	7	7	1	301	5993	99	1		890	890	890	PAGBNG_03025	EADAOE_00907	MJAKFC_01357	PIBFPJ_03456		BLLDNB_03225	KCCMJC_03429	HCOCDN_01019
	group_3275	pgi	glucose-6-phosphate isomerase	7	7	1	301	4459	60	2		1643	1643	1643	PAGBNG_03090	EADAOE_03255	MJAKFC_03075	PIBFPJ_01409	MDFDNN_02671		KCCMJC_03321	HCOCDN_02798
	Thiamine-phosphate synthase		Thiamine-phosphate synthase	7	7	1	301	4461	60	1		623	623	623	PAGBNG_03092	EADAOE_03253	MJAKFC_03073	PIBFPJ_01407	MDFDNN_02673		KCCMJC_03319	HCOCDN_02796
	Protoporphyrinogen IX oxidase		Protoporphyrinogen IX oxidase	7	7	1	301	4466	283	1		416	416	416	PAGBNG_03097	EADAOE_03248	MJAKFC_03068	PIBFPJ_01402		BLLDNB_02068	KCCMJC_03314	HCOCDN_02791
	Adenylate cyclase		Adenylate cyclase	7	7	1	301	4468	315	1		461	461	461	PAGBNG_03099	EADAOE_03246	MJAKFC_03066	PIBFPJ_01400		BLLDNB_02070	KCCMJC_03312	HCOCDN_02789
	group_3280	putative membrane transporter protein	putative membrane transporter protein	7	7	1	301	4425	417	1		806	806	806	PAGBNG_03118	EADAOE_03227		PIBFPJ_01381	MDFDNN_02590	BLLDNB_01929	KCCMJC_03546	HCOCDN_02770
	group_3281	Putative 8-amino-7-oxononanoate synthase	Putative 8-amino-7-oxononanoate synthase	7	7	1	301	4428	395	1		1094	1094	1094	PAGBNG_03121	EADAOE_03224	MJAKFC_03044	PIBFPJ_01378		BLLDNB_01932	KCCMJC_03543	HCOCDN_02767
	deoxyribonuclease II family protein		deoxyribonuclease II family protein	7	7	1	301	4405	32	3		1262	1262	1262	PAGBNG_03135	EADAOE_03212	MJAKFC_03129	PIBFPJ_01364		BLLDNB_01945	KCCMJC_01307	HCOCDN_02755
	Depolymerase		Depolymerase	7	7	1	301	4403	32	5		995	995	995	PAGBNG_03137	EADAOE_03209	MJAKFC_03131	PIBFPJ_01362		BLLDNB_01947	KCCMJC_01310	HCOCDN_02753
	aroG		3-deoxy-7-phosphoheptulonate synthase AroG	7	7	1	301	4402	32	6		1064	1064	1064	PAGBNG_03138	EADAOE_03208	MJAKFC_03132	PIBFPJ_01361		BLLDNB_01948	KCCMJC_01311	HCOCDN_02752
	Winged helix-turn-helix domain-containing protein		Winged helix-turn-helix domain-containing protein	7	7	1	301	4295	109	1		1208	1208	1208	PAGBNG_03227	EADAOE_03117	MJAKFC_01616	PIBFPJ_01269	MDFDNN_02779		KCCMJC_01401	HCOCDN_02659
	VOC family virulence protein		VOC family virulence protein	7	7	1	301	4294	109	2		371	371	371	PAGBNG_03228	EADAOE_03116	MJAKFC_01617	PIBFPJ_01268	MDFDNN_02780		KCCMJC_01402	HCOCDN_02658
	pyk		pyruvate kinase	7	7	1	301	4292	316	1		1406	1406	1406	PAGBNG_03230	EADAOE_03114	MJAKFC_01619	PIBFPJ_01266	MDFDNN_02782	BLLDNB_03622		HCOCDN_02656
	LTXXQ motif family protein		LTXXQ motif family protein	7	7	1	301	4258	299	1		443	443	443	PAGBNG_03257	EADAOE_03088	MJAKFC_01645	PIBFPJ_01238	MDFDNN_02808		KCCMJC_01804	HCOCDN_02628
	DUF4337 domain-containing protein		DUF4337 domain-containing protein	7	7	1	301	4255	356	1		569	569	569	PAGBNG_03260	EADAOE_03085	MJAKFC_01648	PIBFPJ_01235		BLLDNB_03588	KCCMJC_01801	HCOCDN_02625
	Peptidase M3		Peptidase M3	7	7	1	301	4244	104	1		1874	1874	1874	PAGBNG_03271	EADAOE_03073	MJAKFC_01659	PIBFPJ_01224		BLLDNB_03577	KCCMJC_01790	HCOCDN_02611
	CpXC domain-containing protein		CpXC domain-containing protein	7	7	1	301	4243	104	2		545	545	545	PAGBNG_03272	EADAOE_03072	MJAKFC_01660	PIBFPJ_01223		BLLDNB_03576	KCCMJC_01789	HCOCDN_02610
	hutI		imidazolonepropionase	7	7	1	301	4239	331	1		1241	1241	1241	PAGBNG_03276	EADAOE_03068	MJAKFC_03596	PIBFPJ_01219		BLLDNB_03572	KCCMJC_01785	HCOCDN_02606
	DUF2059 domain-containing protein		DUF2059 domain-containing protein	7	7	1	301	4171	378	1		542	542	542	PAGBNG_03326	EADAOE_03019	MJAKFC_02905		MDFDNN_02879	BLLDNB_03522	KCCMJC_01736	HCOCDN_02556
	group_3318	srmB	ATP-dependent RNA helicase RhlE	7	7	1	301	4143	385	1		1412	1412	1412	PAGBNG_03350	EADAOE_02993	MJAKFC_02913	PIBFPJ_01159		BLLDNB_03499	KCCMJC_01728	HCOCDN_02532
	group_3319	tetR	TetR family transcriptional regulator	7	7	1	301	4140	119	2		566	566	566	PAGBNG_03353	EADAOE_02990	MJAKFC_02916	PIBFPJ_01157	MDFDNN_02887	BLLDNB_03496		HCOCDN_02529
	group_3321	exbD	Biopolymer transport protein exbD	7	7	1	301	2080	97	2		410	410	410	PAGBNG_03361	EADAOE_02980	MJAKFC_02926	PIBFPJ_01149		BLLDNB_03487	KCCMJC_01717	HCOCDN_02521
	phnA		Alkylphosphonate utilization operon protein PhnA	7	7	1	301	355	320	1		338	338	338	PAGBNG_03377	EADAOE_02941	MJAKFC_02791	PIBFPJ_01110		BLLDNB_03741	KCCMJC_02931	HCOCDN_02476
	DUF6916 domain-containing protein		DUF6916 domain-containing protein	7	7	1	301	388	391	1		335	335	335	PAGBNG_03406	EADAOE_02912	MJAKFC_02819	PIBFPJ_01081		BLLDNB_02786	KCCMJC_03488	HCOCDN_02448
	rlmH		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	7	7	1	301	436	23	6		470	470	470	PAGBNG_03445	EADAOE_02876	MJAKFC_02574	PIBFPJ_01042		BLLDNB_02254	KCCMJC_03154	HCOCDN_02407
	group_3328	MFS transporter	MFS transporter	7	7	1	301	441	276	1		755	755	755	PAGBNG_03450	EADAOE_02871	MJAKFC_02579	PIBFPJ_01037	MDFDNN_03022	BLLDNB_02259	KCCMJC_03159	
	POTRA domain-containing protein		POTRA domain-containing protein	7	7	1	301	460	180	3		1814	1814	1814	PAGBNG_03460	EADAOE_02859	MJAKFC_02589	PIBFPJ_01028		BLLDNB_02272	KCCMJC_03233	HCOCDN_02390
	group_3332	Efflux transporter periplasmic adaptor subunit	Efflux transporter periplasmic adaptor subunit	7	7	1	301	465	380	1		863	863	863	PAGBNG_03465	EADAOE_02854	MJAKFC_02594	PIBFPJ_01023		BLLDNB_02278	KCCMJC_03228	HCOCDN_02385
	Integral membrane bound transporter domain-containing protein		Integral membrane bound transporter domain-containing protein	7	7	1	301	468	273	1		941	941	941	PAGBNG_03468	EADAOE_02851	MJAKFC_02597	PIBFPJ_01020	MDFDNN_03046		KCCMJC_03225	HCOCDN_02382
	yedA		drug/metabolite exporter YedA	7	7	1	301	511	85	1		866	866	866	PAGBNG_03492	EADAOE_02840	MJAKFC_02215	PIBFPJ_00998		BLLDNB_02290	KCCMJC_00435	HCOCDN_02373
	Transglycosylase		Transglycosylase	7	7	1	301	532	233	1		623	623	623	PAGBNG_03512	EADAOE_02820	MJAKFC_02195	PIBFPJ_00977		BLLDNB_02310	KCCMJC_00415	HCOCDN_02353
	group_3346	AB hydrolase-1 domain-containing protein	AB hydrolase-1 domain-containing protein	7	7	1	301	535	62	1		773	773	773	PAGBNG_03515	EADAOE_02817	MJAKFC_02192	PIBFPJ_00974	MDFDNN_03079		KCCMJC_00412	HCOCDN_02350
	DUF222 domain-containing protein		DUF222 domain-containing protein	7	7	1	301	649	1	871		560	560	560	PAGBNG_03573	EADAOE_02758	MJAKFC_02140	PIBFPJ_00922	MDFDNN_03132		KCCMJC_00360	HCOCDN_02297
	parB		Chromosome partitioning protein ParB	7	7	1	301	137	414	1		857	857	857	PAGBNG_03593	EADAOE_02738	MJAKFC_03460	PIBFPJ_00900		BLLDNB_02398	KCCMJC_00328	HCOCDN_02277
	glmS		glutamine--fructose-6-phosphate transaminase (isomerizing)	7	7	1	301	161	1034	13		1829	1829	1829	PAGBNG_03606	EADAOE_02725	MJAKFC_03447	PIBFPJ_00887		BLLDNB_02410	KCCMJC_00316	HCOCDN_02264
