																					
	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
	HCOCDN_01697	243365.CV_3397	4.18e-270	741.0	COG1398@1|root,COG1398@2|Bacteria,1N2MA@1224|Proteobacteria,2VHRS@28216|Betaproteobacteria,2KQQY@206351|Neisseriales	206351|Neisseriales	I	Fatty acid desaturase	-	-	1.14.19.1	ko:K00507	ko01040,ko01212,ko03320,ko04152,ko04212,map01040,map01212,map03320,map04152,map04212	-	R02222	RC00917	ko00000,ko00001,ko01000,ko01004	-	-	-	DDE_Tnp_ISL3,FA_desaturase
	HCOCDN_01744	279714.FuraDRAFT_1390	1.8e-110	322.0	COG0344@1|root,COG0344@2|Bacteria,1RD4Z@1224|Proteobacteria,2VQ10@28216|Betaproteobacteria,2KQYT@206351|Neisseriales	206351|Neisseriales	I	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP	plsY	-	2.3.1.15	ko:K08591	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	G3P_acyltransf
	HCOCDN_01794	243365.CV_3743	8.57e-169	473.0	COG0623@1|root,COG0623@2|Bacteria,1MV05@1224|Proteobacteria,2VJQ0@28216|Betaproteobacteria,2KQMC@206351|Neisseriales	206351|Neisseriales	I	Enoyl- acyl-carrier-protein reductase NADH	-	-	1.3.1.10,1.3.1.9	ko:K00208	ko00061,ko00333,ko00780,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01100,map01130,map01212	M00083,M00572	R01404,R04429,R04430,R04724,R04725,R04955,R04956,R04958,R04959,R04961,R04962,R04966,R04967,R04969,R04970,R07765,R10118,R10122,R11671	RC00052,RC00076,RC00120	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
	HCOCDN_01900	243365.CV_3819	1.57e-83	248.0	COG2030@1|root,COG2030@2|Bacteria,1MWPK@1224|Proteobacteria,2VREB@28216|Betaproteobacteria,2KRH4@206351|Neisseriales	206351|Neisseriales	I	N-terminal half of MaoC dehydratase	-	-	4.2.1.55	ko:K17865	ko00630,ko00650,ko01120,ko01200,map00630,map00650,map01120,map01200	M00373	R03027	RC00831	ko00000,ko00001,ko00002,ko01000	-	-	-	MaoC_dehydratas
	HCOCDN_01932	243365.CV_3870	6.16e-182	509.0	COG2084@1|root,COG2084@2|Bacteria,1MUGU@1224|Proteobacteria,2VIVI@28216|Betaproteobacteria,2KQ5Q@206351|Neisseriales	206351|Neisseriales	I	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	-	-	1.1.1.60	ko:K00042	ko00630,ko01100,map00630,map01100	-	R01745,R01747	RC00099	ko00000,ko00001,ko01000	-	-	-	NAD_binding_11,NAD_binding_2
	HCOCDN_02171	243365.CV_0774	0.0	1804.0	COG0671@1|root,COG0671@2|Bacteria,1QUY3@1224|Proteobacteria,2WGK5@28216|Betaproteobacteria,2KSG7@206351|Neisseriales	206351|Neisseriales	I	Exopolysaccharide biosynthesis protein YbjH	-	-	-	-	-	-	-	-	-	-	-	-	YjbH
	HCOCDN_02338	243365.CV_0591	5.16e-186	518.0	COG0688@1|root,COG0688@2|Bacteria,1MVT4@1224|Proteobacteria,2VJCQ@28216|Betaproteobacteria,2KQFP@206351|Neisseriales	206351|Neisseriales	I	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer)	psd	-	4.1.1.65	ko:K01613	ko00564,ko01100,ko01110,map00564,map01100,map01110	M00093	R02055	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	-	PS_Dcarbxylase
	HCOCDN_02350	157783.LK03_16120	1.45e-75	237.0	COG2267@1|root,COG2267@2|Bacteria,1QTYM@1224|Proteobacteria,1SDG8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
	HCOCDN_02567	243365.CV_0362	9.66e-251	694.0	COG3240@1|root,COG3240@2|Bacteria,1R3US@1224|Proteobacteria,2WEQC@28216|Betaproteobacteria	28216|Betaproteobacteria	I	GDSL-like Lipase/Acylhydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Lipase_GDSL
	HCOCDN_02569	243365.CV_0360	6.39e-271	746.0	COG3240@1|root,COG3240@2|Bacteria,1R3US@1224|Proteobacteria,2WEQC@28216|Betaproteobacteria	28216|Betaproteobacteria	I	GDSL-like Lipase/Acylhydrolase family	-	-	-	ko:K11018	-	-	-	-	ko00000,ko02042	-	-	-	Lipase_GDSL
	HCOCDN_02571	243365.CV_0358	1.49e-149	427.0	COG0657@1|root,COG0657@2|Bacteria,1NEXK@1224|Proteobacteria,2VJSB@28216|Betaproteobacteria,2KSA6@206351|Neisseriales	206351|Neisseriales	I	alpha/beta hydrolase fold	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_3
	HCOCDN_02760	243365.CV_0167	2.95e-177	499.0	COG2267@1|root,COG2267@2|Bacteria,1RDSZ@1224|Proteobacteria,2W9IB@28216|Betaproteobacteria,2KS4I@206351|Neisseriales	206351|Neisseriales	I	Alpha/beta hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_4
	HCOCDN_02881	243365.CV_4377	5.24e-158	445.0	COG2267@1|root,COG2267@2|Bacteria,1N2R9@1224|Proteobacteria,2VRME@28216|Betaproteobacteria,2KTUZ@206351|Neisseriales	206351|Neisseriales	I	The physiological role of BioH is to remove the methyl group introduced by BioC when the pimeloyl moiety is complete. It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway through the hydrolysis of the ester bonds of pimeloyl-ACP esters	bioH	-	3.1.1.85	ko:K02170	ko00780,ko01100,map00780,map01100	M00572	R09725	RC00460,RC00461	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_1,Abhydrolase_6
	HCOCDN_02886	243365.CV_4372	8.91e-192	534.0	COG3000@1|root,COG3000@2|Bacteria,1NR7X@1224|Proteobacteria,2VJ4E@28216|Betaproteobacteria,2KT9D@206351|Neisseriales	206351|Neisseriales	I	Fatty acid hydroxylase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	FA_hydroxylase
	HCOCDN_02937	243365.CV_4315	2.16e-137	393.0	COG2134@1|root,COG2134@2|Bacteria,1NGNY@1224|Proteobacteria,2VUGX@28216|Betaproteobacteria	28216|Betaproteobacteria	I	CDP-diacylglycerol pyrophosphatase	cdh	-	3.6.1.26	ko:K01521	ko00564,ko01110,map00564,map01110	-	R01797	RC00002	ko00000,ko00001,ko01000	-	-	-	CDH
	HCOCDN_03163	243365.CV_4086	1.06e-60	190.0	COG3154@1|root,COG3154@2|Bacteria,1RB7T@1224|Proteobacteria,2VTWW@28216|Betaproteobacteria,2KRET@206351|Neisseriales	206351|Neisseriales	I	SCP-2 sterol transfer family protein	-	-	-	-	-	-	-	-	-	-	-	-	SCP2
	HCOCDN_03187	243365.CV_4063	1.77e-166	469.0	COG0204@1|root,COG0204@2|Bacteria,1N2DG@1224|Proteobacteria,2VSJD@28216|Betaproteobacteria,2KQTI@206351|Neisseriales	206351|Neisseriales	I	Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family	plsC	-	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyltransferase
	HCOCDN_03191	243365.CV_4059	1.93e-183	512.0	COG1947@1|root,COG1947@2|Bacteria,1MVU3@1224|Proteobacteria,2VHK3@28216|Betaproteobacteria,2KQFN@206351|Neisseriales	206351|Neisseriales	I	Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol	ispE	-	2.7.1.148	ko:K00919	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05634	RC00002,RC01439	ko00000,ko00001,ko00002,ko01000	-	-	-	GHMP_kinases_C,GHMP_kinases_N
	HCOCDN_03200	243365.CV_4051	0.0	1102.0	COG1022@1|root,COG1022@2|Bacteria,1MU4D@1224|Proteobacteria,2VI0U@28216|Betaproteobacteria,2KSNJ@206351|Neisseriales	206351|Neisseriales	I	long chain fatty-acid CoA ligase	-	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding
	HCOCDN_03208	243365.CV_4039	2.8e-280	776.0	COG1502@1|root,COG1502@2|Bacteria,1MWUW@1224|Proteobacteria,2VKYV@28216|Betaproteobacteria,2KPY2@206351|Neisseriales	206351|Neisseriales	I	Phospholipase D. Active site motifs.	-	-	2.7.8.5	ko:K00995,ko:K06131	ko00564,ko01100,map00564,map01100	-	R01801,R07390	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000	-	-	-	PLDc_2
	HCOCDN_03263	104623.Ser39006_00225	8.15e-125	370.0	COG1835@1|root,COG1835@2|Bacteria,1N2Z2@1224|Proteobacteria,1SBE8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Acyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acyl_transf_3
	HCOCDN_03320	243365.CV_0985	0.0	867.0	COG0439@1|root,COG0439@2|Bacteria,1MU4H@1224|Proteobacteria,2VISB@28216|Betaproteobacteria,2KQ65@206351|Neisseriales	206351|Neisseriales	I	acetyl-CoA carboxylase, biotin carboxylase	accC	-	6.3.4.14,6.4.1.2	ko:K01961	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04385	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_carb_C,Biotin_carb_N,CPSase_L_D2
	HCOCDN_03321	279714.FuraDRAFT_2835	1.87e-68	211.0	COG0511@1|root,COG0511@2|Bacteria,1RCXA@1224|Proteobacteria,2VR5S@28216|Betaproteobacteria,2KR4E@206351|Neisseriales	206351|Neisseriales	I	first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA	accB	-	-	ko:K02160	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742	RC00040,RC00367	ko00000,ko00001,ko00002	-	-	-	Biotin_lipoyl
	HCOCDN_03336	243365.CV_0998	0.0	1094.0	COG3240@1|root,COG5571@1|root,COG3240@2|Bacteria,COG5571@2|Bacteria,1MWDI@1224|Proteobacteria,2WEDW@28216|Betaproteobacteria,2KQZ5@206351|Neisseriales	206351|Neisseriales	I	Autotransporter beta-domain	-	-	-	ko:K12686	-	-	-	-	ko00000,ko02000,ko02044	1.B.12.8	-	-	Autotransporter,Lipase_GDSL
	HCOCDN_03482	243365.CV_1096	2.67e-237	656.0	COG0332@1|root,COG0332@2|Bacteria,1MU9N@1224|Proteobacteria,2VK77@28216|Betaproteobacteria,2KQS3@206351|Neisseriales	206351|Neisseriales	I	FAE1/Type III polyketide synthase-like protein	-	-	2.3.1.207	ko:K16872	-	-	-	-	ko00000,ko01000	-	-	-	ACP_syn_III,ACP_syn_III_C
	HCOCDN_03501	243365.CV_1111	1.94e-290	796.0	COG1502@1|root,COG1502@2|Bacteria,1MVPU@1224|Proteobacteria,2VZTJ@28216|Betaproteobacteria	28216|Betaproteobacteria	I	Phospholipase D. Active site motifs.	pssA	-	2.7.8.8	ko:K00998	ko00260,ko00564,ko01100,ko01110,map00260,map00564,map01100,map01110	M00093	R01800	RC00002,RC00017,RC02795	ko00000,ko00001,ko00002,ko01000	-	-	-	PLDc_2
	HCOCDN_03518	243365.CV_1129	1.09e-198	555.0	COG0240@1|root,COG0240@2|Bacteria,1MUU3@1224|Proteobacteria,2VJ91@28216|Betaproteobacteria,2KQ8E@206351|Neisseriales	206351|Neisseriales	I	Psort location Cytoplasmic, score 8.96	gpsA	-	1.1.1.94	ko:K00057	ko00564,ko01110,map00564,map01110	-	R00842,R00844	RC00029	ko00000,ko00001,ko01000	-	-	-	NAD_Gly3P_dh_C,NAD_Gly3P_dh_N
	HCOCDN_03540	243365.CV_1156	3.49e-99	289.0	COG1607@1|root,COG1607@2|Bacteria,1RAEQ@1224|Proteobacteria,2VQ4Q@28216|Betaproteobacteria,2KR3N@206351|Neisseriales	206351|Neisseriales	I	Thioesterase family	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
	HCOCDN_03562	243365.CV_1180	4.75e-215	594.0	COG2267@1|root,COG2267@2|Bacteria,1R1BE@1224|Proteobacteria,2VYU5@28216|Betaproteobacteria	28216|Betaproteobacteria	I	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_03591	243365.CV_3583	4.11e-114	334.0	COG0671@1|root,COG0671@2|Bacteria,1NAJ7@1224|Proteobacteria,2VYK4@28216|Betaproteobacteria,2KT1C@206351|Neisseriales	206351|Neisseriales	I	Acid phosphatase homologues	-	-	3.6.1.27	ko:K19302	ko00550,map00550	-	R05627	RC00002	ko00000,ko00001,ko01000,ko01011	-	-	-	PAP2
	HCOCDN_03701	243365.CV_3538	3,00E-291	797.0	COG0821@1|root,COG0821@2|Bacteria,1MUAX@1224|Proteobacteria,2VID7@28216|Betaproteobacteria,2KPF1@206351|Neisseriales	206351|Neisseriales	I	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	ispG	-	1.17.7.1,1.17.7.3	ko:K03526	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R08689,R10859	RC01486	ko00000,ko00001,ko00002,ko01000	-	-	-	GcpE
	HCOCDN_03717	243365.CV_1306	5.72e-124	354.0	COG0558@1|root,COG0558@2|Bacteria,1RCZ7@1224|Proteobacteria,2VQI2@28216|Betaproteobacteria,2KQW4@206351|Neisseriales	206351|Neisseriales	I	Belongs to the CDP-alcohol phosphatidyltransferase class-I family	pgsA	-	2.7.8.41,2.7.8.5	ko:K00995,ko:K08744	ko00564,ko01100,map00564,map01100	-	R01801,R02030	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000	-	-	-	CDP-OH_P_transf
	HCOCDN_03748	243365.CV_1330	8.37e-151	428.0	COG1024@1|root,COG1024@2|Bacteria,1MVEC@1224|Proteobacteria,2VI5G@28216|Betaproteobacteria,2KR0D@206351|Neisseriales	206351|Neisseriales	I	enoyl-CoA hydratase	-	-	4.2.1.18	ko:K13766	ko00280,ko01100,map00280,map01100	M00036	R02085	RC02416	ko00000,ko00001,ko00002,ko01000	-	-	-	ECH_1
	HCOCDN_03749	243365.CV_1331	2.02e-158	447.0	COG2267@1|root,COG2267@2|Bacteria,1MX0N@1224|Proteobacteria	1224|Proteobacteria	I	Alpha beta hydrolase	-	-	3.1.1.24	ko:K01055	ko00362,ko01100,ko01120,ko01220,map00362,map01100,map01120,map01220	M00568	R02991	RC00825	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_1,Abhydrolase_4,Abhydrolase_6
	HCOCDN_03937	243365.CV_1583	4.08e-176	492.0	COG0623@1|root,COG0623@2|Bacteria,1MV05@1224|Proteobacteria,2VIHE@28216|Betaproteobacteria,2KPNX@206351|Neisseriales	206351|Neisseriales	I	Enoyl- acyl-carrier-protein reductase NADH	fabI	-	1.3.1.10,1.3.1.9	ko:K00208	ko00061,ko00333,ko00780,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01100,map01130,map01212	M00083,M00572	R01404,R04429,R04430,R04724,R04725,R04955,R04956,R04958,R04959,R04961,R04962,R04966,R04967,R04969,R04970,R07765,R10118,R10122,R11671	RC00052,RC00076,RC00120	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
	HCOCDN_04016	243365.CV_1658	7.55e-168	471.0	COG0204@1|root,COG0204@2|Bacteria,1MY51@1224|Proteobacteria,2VNAX@28216|Betaproteobacteria,2KPTB@206351|Neisseriales	206351|Neisseriales	I	Acyltransferase	-	-	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyltransferase
	HCOCDN_00451	243365.CV_2105	1.98e-203	569.0	COG0615@1|root,COG0615@2|Bacteria,1N9T6@1224|Proteobacteria,2VP4J@28216|Betaproteobacteria,2KSI8@206351|Neisseriales	206351|Neisseriales	IM	Sulfotransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Sulfotransfer_3
	HCOCDN_03606	243365.CV_3567	2.66e-201	560.0	COG0761@1|root,COG0761@2|Bacteria,1MU7G@1224|Proteobacteria,2VHM8@28216|Betaproteobacteria,2KPQM@206351|Neisseriales	206351|Neisseriales	IM	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis	ispH	-	1.17.7.4	ko:K03527	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05884,R08210	RC01137,RC01487	ko00000,ko00001,ko00002,ko01000	-	-	-	LYTB
	HCOCDN_00239	243365.CV_2976	2.01e-165	464.0	COG1028@1|root,COG1028@2|Bacteria,1MWBC@1224|Proteobacteria,2VMWZ@28216|Betaproteobacteria,2KPI1@206351|Neisseriales	206351|Neisseriales	IQ	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
	HCOCDN_00362	1336243.JAEA01000011_gene3208	1.07e-57	186.0	COG1028@1|root,COG1028@2|Bacteria,1MU3W@1224|Proteobacteria,2TT5X@28211|Alphaproteobacteria,1JSN4@119045|Methylobacteriaceae	28211|Alphaproteobacteria	IQ	KR domain	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
	HCOCDN_00393	243365.CV_2810	8.15e-124	357.0	COG1028@1|root,COG1028@2|Bacteria,1RBGC@1224|Proteobacteria,2VQBB@28216|Betaproteobacteria	28216|Betaproteobacteria	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
	HCOCDN_00622	243365.CV_2689	8.76e-177	495.0	COG1028@1|root,COG1028@2|Bacteria,1MUCH@1224|Proteobacteria,2WGYA@28216|Betaproteobacteria,2KQFS@206351|Neisseriales	206351|Neisseriales	IQ	KR domain	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
	HCOCDN_00785	243365.CV_2364	2.13e-152	431.0	COG1028@1|root,COG1028@2|Bacteria,1MUEV@1224|Proteobacteria,2VH8R@28216|Betaproteobacteria,2KPJG@206351|Neisseriales	206351|Neisseriales	IQ	Acetoacetyl-CoA reductase	phaB	-	1.1.1.36	ko:K00023	ko00630,ko00650,ko01120,ko01200,map00630,map00650,map01120,map01200	M00373	R01779,R01977	RC00103,RC00117	ko00000,ko00001,ko00002,ko01000	-	-	-	adh_short,adh_short_C2
	HCOCDN_00938	243365.CV_2707	8.27e-153	432.0	COG1028@1|root,COG1028@2|Bacteria,1MXNY@1224|Proteobacteria,2VMME@28216|Betaproteobacteria,2KSP2@206351|Neisseriales	206351|Neisseriales	IQ	KR domain	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
	HCOCDN_01234	243365.CV_1780	0.0	980.0	COG0318@1|root,COG0318@2|Bacteria,1MU6G@1224|Proteobacteria,2VHAT@28216|Betaproteobacteria,2KTS6@206351|Neisseriales	206351|Neisseriales	IQ	AMP-binding enzyme C-terminal domain	-	-	-	ko:K00666	-	-	-	-	ko00000,ko01000,ko01004	-	-	-	AMP-binding,AMP-binding_C
	HCOCDN_01460	243365.CV_3413	1.33e-43	142.0	COG0236@1|root,COG0236@2|Bacteria,1MZ4P@1224|Proteobacteria,2VTZH@28216|Betaproteobacteria,2KRK5@206351|Neisseriales	206351|Neisseriales	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	acpP	-	-	ko:K02078	-	-	-	-	ko00000,ko00001	-	-	-	PP-binding
	HCOCDN_01461	243365.CV_3414	1.45e-138	395.0	COG1028@1|root,COG1028@2|Bacteria,1MU6X@1224|Proteobacteria,2VJ3S@28216|Betaproteobacteria,2KQ07@206351|Neisseriales	206351|Neisseriales	IQ	Psort location Cytoplasmic, score 9.26	fabG	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
	HCOCDN_02067	243365.CV_0898	0.0	1040.0	COG0318@1|root,COG0318@2|Bacteria,1MUMC@1224|Proteobacteria,2VGZE@28216|Betaproteobacteria,2KQNZ@206351|Neisseriales	206351|Neisseriales	IQ	AMP-binding enzyme C-terminal domain	-	-	6.2.1.44	ko:K00666,ko:K20034	ko00920,map00920	-	R10820	RC00004,RC00014	ko00000,ko00001,ko01000,ko01004	-	-	-	AMP-binding,AMP-binding_C
	HCOCDN_02251	243365.CV_0695	1.12e-170	478.0	COG1028@1|root,COG1028@2|Bacteria,1MU5Y@1224|Proteobacteria,2VIKT@28216|Betaproteobacteria,2KQNN@206351|Neisseriales	206351|Neisseriales	IQ	KR domain	-	-	1.1.1.30	ko:K00019	ko00072,ko00650,ko01100,map00072,map00650,map01100	M00088	R01361	RC00117	ko00000,ko00001,ko00002,ko01000	-	-	-	adh_short
	HCOCDN_02543	948106.AWZT01000025_gene4821	7.63e-158	467.0	COG0318@1|root,COG0318@2|Bacteria,1NRID@1224|Proteobacteria,2WHBZ@28216|Betaproteobacteria,1KC46@119060|Burkholderiaceae	28216|Betaproteobacteria	IQ	AMP-binding enzyme C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C
	HCOCDN_02549	948106.AWZT01000025_gene4815	1.65e-178	525.0	COG0318@1|root,COG0318@2|Bacteria,1NTHD@1224|Proteobacteria,2VZDP@28216|Betaproteobacteria,1K9VP@119060|Burkholderiaceae	28216|Betaproteobacteria	IQ	AMP-binding enzyme	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding
	HCOCDN_03111	243365.CV_4132	5.82e-153	432.0	COG1028@1|root,COG1028@2|Bacteria,1MUUV@1224|Proteobacteria,2VK0U@28216|Betaproteobacteria,2KPET@206351|Neisseriales	206351|Neisseriales	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	1.5.1.33	ko:K03793	-	-	-	-	ko00000,ko01000	-	-	-	adh_short_C2
	HCOCDN_03260	134676.ACPL_3678	7.11e-79	245.0	COG1028@1|root,COG1028@2|Bacteria,2GMMY@201174|Actinobacteria	201174|Actinobacteria	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	ko:K20425	ko00525,ko01130,map00525,map01130	M00814	R11244	RC03402	ko00000,ko00001,ko00002	-	-	-	adh_short
	HCOCDN_03506	243365.CV_1115	1.76e-109	318.0	COG1028@1|root,COG1028@2|Bacteria,1RA3U@1224|Proteobacteria,2VKMR@28216|Betaproteobacteria,2KR1D@206351|Neisseriales	206351|Neisseriales	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
	HCOCDN_03597	243365.CV_3576	4.09e-166	465.0	COG1028@1|root,COG1028@2|Bacteria,1N907@1224|Proteobacteria,2VJ81@28216|Betaproteobacteria,2KQEX@206351|Neisseriales	206351|Neisseriales	IQ	KR domain	fabG2	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
	HCOCDN_03826	243365.CV_1459	0.0	1008.0	COG0318@1|root,COG0318@2|Bacteria,1MU6G@1224|Proteobacteria,2VI0I@28216|Betaproteobacteria,2KPZF@206351|Neisseriales	206351|Neisseriales	IQ	AMP-binding enzyme	fadD	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
	HCOCDN_04288	243365.CV_2615	1.3e-21	87.0	COG0236@1|root,COG0236@2|Bacteria,1P49R@1224|Proteobacteria	1224|Proteobacteria	IQ	Acyl carrier protein	iacP	-	-	ko:K02078	-	-	-	-	ko00000,ko00001	-	-	-	PP-binding
	HCOCDN_00063	243365.CV_3163	2.74e-104	305.0	COG1670@1|root,COG1670@2|Bacteria,1PZTX@1224|Proteobacteria,2W4BT@28216|Betaproteobacteria	28216|Betaproteobacteria	J	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
	HCOCDN_00144	243365.CV_3072	4.11e-292	799.0	COG0162@1|root,COG0162@2|Bacteria,1MVUQ@1224|Proteobacteria,2VHF7@28216|Betaproteobacteria,2KPC7@206351|Neisseriales	206351|Neisseriales	J	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	tyrS	-	6.1.1.1	ko:K01866	ko00970,map00970	M00359,M00360	R02918	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	S4,tRNA-synt_1b
	HCOCDN_00168	243365.CV_3046	0.0	1067.0	COG0539@1|root,COG0539@2|Bacteria,1MVAV@1224|Proteobacteria,2VI12@28216|Betaproteobacteria,2KQ90@206351|Neisseriales	206351|Neisseriales	J	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence	rpsA	-	-	ko:K02945	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	S1
	HCOCDN_00270	243365.CV_2918	1.5e-96	285.0	COG1670@1|root,COG1670@2|Bacteria,1MXGM@1224|Proteobacteria,2VUKC@28216|Betaproteobacteria,2KSAW@206351|Neisseriales	206351|Neisseriales	J	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
